Cycle,UP_gamma,DOWN_gamma,UP_dw_min,DOWN_dw_min
1,0.4730343724880576,0.4922688416904411,0.0021509813798216153,0.00224602185856041
2,0.41542409802142727,0.611572375046264,0.002148786453209109,0.0023858973399627395
3,0.4711137302522478,0.5621381429178121,0.0021459939153662677,0.0023078028473346476
4,0.3056807965000838,0.4664981543318845,0.0021635080782612484,0.002225632549024894
5,0.4245197073179451,0.47304385709217717,0.002155113653137711,0.0022293097231720163
6,0.4322849098327086,0.41125684767653653,0.002141098632705856,0.002158051956375307
7,0.46941805400224873,0.3673351805757005,0.0021323022146517573,0.0021094067096950175
8,0.4314222153904979,0.32373297590378963,0.0021355129204407197,0.002075026638505512
9,0.43162580501028863,0.3596647107063994,0.002135488489833438,0.002078830065879794
10,0.3751007861022207,0.4011995747709953,0.0021338060438078482,0.0021335698455204025
